Parts,Package,Package Size,Configuration Type,Feature,Number of Lines,VRWM MAX (V),Cj (Typ) (pF),IPP (A) at 8/20Âµsec,VClamp (V) at Ipp 8/20Âµsec,VBR (Min)(V),IEC61000-4-2 (ESD) contact discharge,IEC61000-4-2 (ESD) air discharge, Working Voltage, Interface
"RClamp1521PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","15.00","0.30","4.00","35.00","16.70","8","15","13V - 33V","Antenna"
"RClamp1521ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","15.00","0.35","3.00","24.00","16.50","10","15","13V - 33V","Antenna"
"RClamp1531ZA","DFN0603-2","0.6 x 0.3 x 0.25","Unidirectional","Low capacitance","1","15.00","0.45","20.00","8.00","17.00","15","20","13V - 33V","USB"
"RClamp1561PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","15.00","0.25","2.00","35.00","16.50","10","15","13V - 33V","Antenna"
"RClamp1561PWQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","15.00","0.15","2.00","32.00","16.50","10","15","13V - 33V","Antenna"
"RClamp1624T","DFN1710-4","1.7 x 1.0 x 0.4","Array","Low capacitance","3","5.00","0.70","5.00","15.00","6.50","12","18","4V - 5.5V","USB"
"RClamp1631PQ","DFN1610-2","1.6 x 1.0 x 0.53","Bidirectional","Automotive","1","16.00","0.33","8.00","27.00","20.00","30","30","13V - 33V","Antenna"
"RClamp1644T","DFN1508-5","1.5 x 0.8 x 0.4","Array","Low capacitance","3","5.00","0.20","5.00","15.00","6.50","20","25","4V - 5.5V","USB"
"RClamp1654P","DFN1616-6","1.6 x 1.6 x 0.6","Array","Low capacitance","3","5.50","0.70","3.00","30.00","6.50","8","15","4V - 5.5V","USB"
"RClamp1851PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","18.00","0.37","4.00","4.50","18.50","17","20","13V - 33V","Antenna"
"RClamp1851ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","18.00","0.35","3.00","9.20","18.50","17","20","13V - 33V","Antenna"
"RClamp2261ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","22.00","0.35","18.00","10.50","24.00","25","30","13V - 33V","Antenna, USB"
"RClamp2271ZC","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","22.00","0.15","2.00","6.00","24.00","8","15","13V - 33V","Antenna, USB"
"RClamp2272ZC","DFN0603-3","0.62 x 0.32 x 0.30","Bidirectional","Low capacitance","2","22.00","0.14","4.00","20.00","24.00","10","15","13V - 33V","Antenna, USB"
"RCLAMP2401H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","24.00","3.20","24.00","46.00","26.00","30","30","13V - 33V","VBUS"
"RClamp2402B","SC-75 (SOT-523)","1.6 x 1.6 x 0.75","Array","Low capacitance","2","24.00","0.60","4.00","50.00","26.70","15","25","13V - 33V",""
"RClamp2421H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","24.00","1.80","24.00","50.50","27.00","30","30","13V - 33V","USB"
"RClamp2431T","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","Low capacitance","1","24.00","0.35","2.00","50.00","26.70","8","13","13V - 33V","Antenna, USB"
"RClamp2431TQ","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","Automotive","1","24.00","0.35","2.00","50.00","26.70","15","15","13V - 33V","Antenna"
