Part,Manufacturer,Package,Vrwm,Vclamp,Capacitance,Channels,Direction,Grade,Type,Ipp,IEC42_kV,IEC45_A
MMBZ33VBU-Q,Nexperia,SC-70,27.0,,9.0,2.0,Bidirectional,Automotive,TVS/ESD,3.9,30.0,
MMBZ33VC-T,Nexperia,SOT23,26.0,,20.0,2.0,Unidirectional,Commercial,TVS/ESD,2.8,20.0,
MMBZ33VCL,Nexperia,SOT23,26.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ33VCT-Q,Nexperia,SOT23,26.0,,20.0,2.0,Unidirectional,Automotive,TVS/ESD,2.8,20.0,
MMBZ33VS-T,Nexperia,SOT23,27.0,,13.0,1.0,Bidirectional,Commercial,TVS/ESD,3.5,30.0,
MMBZ33VST-Q,Nexperia,SOT23,27.0,,13.0,1.0,Bidirectional,Automotive,TVS/ESD,3.5,30.0,
MMBZ33VZ-LS,Nexperia,DFN1006BD-2,27.0,,14.0,1.0,Bidirectional,Commercial,TVS/ESD,3.0,30.0,
MMBZ33VZLS-Q,Nexperia,DFN1006BD-2,27.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.0,30.0,
NUP1301,Nexperia,SOT23,80.0,,0.6,1.0,,Commercial,TVS/ESD,11.0,30.0,
NUP1301-Q,Nexperia,SOT23,80.0,,0.6,1.0,,Automotive,TVS/ESD,11.0,30.0,
NUP1301QA,Nexperia,DFN1010D-3,80.0,,2.3,1.0,,Commercial,TVS/ESD,11.0,30.0,
NUP1301QA-Q,Nexperia,DFN1010D-3,80.0,,2.3,1.0,,Automotive,TVS/ESD,11.0,30.0,
NUP1301U,Nexperia,SC-70,80.0,,0.6,1.0,,Commercial,TVS/ESD,11.0,30.0,
NUP1301U-Q,Nexperia,SC-70,80.0,,0.6,1.0,,Automotive,TVS/ESD,11.0,30.0,
PESD1IVN24-A,Nexperia,SOD323,24.0,,14.0,1.0,Bidirectional,Commercial,TVS/ESD,3.5,30.0,
PESD1IVN24-LS,Nexperia,DFN1006BD-2,24.0,,14.0,1.0,Bidirectional,Commercial,TVS/ESD,3.5,30.0,
PESD1IVN24A-Q,Nexperia,SOD323,24.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.5,30.0,
PESD1IVN24L-Q,Nexperia,DFN1006-2,24.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.5,30.0,
PESD1IVN24LS-Q,Nexperia,DFN1006BD-2,24.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.5,30.0,
PESD1IVN27-A,Nexperia,SOD323,27.0,,14.0,1.0,Bidirectional,Commercial,TVS/ESD,3.0,30.0,
PESD1IVN27-LS,Nexperia,DFN1006BD-2,27.0,,14.0,1.0,Bidirectional,Commercial,TVS/ESD,3.0,30.0,
PESD1IVN27-U,Nexperia,SC-70,27.0,,14.0,1.0,Bidirectional,Commercial,TVS/ESD,3.0,30.0,
PESD1IVN27L-Q,Nexperia,DFN1006-2,27.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.0,30.0,
PESD1IVN27LS-Q,Nexperia,DFN1006BD-2,27.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.0,30.0,
PESD1IVN27U-Q,Nexperia,SC-70,27.0,,14.0,1.0,Bidirectional,Automotive,TVS/ESD,3.0,30.0,
PESD1LVDS,Nexperia,DFN2510-10,5.5,,0.6,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
PESD1USB30,Nexperia,WLCSP5,5.0,,0.45,1.0,Unidirectional,Commercial,TVS/ESD,8.0,15.0,
PESD1V0C1BSF,Nexperia,DSN0603-2,1.0,,0.18,1.0,Bidirectional,Commercial,TVS/ESD,,15.0,
PESD1V0H1BSF,Nexperia,DSN0603-2,1.0,,0.15,1.0,Bidirectional,Commercial,TVS/ESD,,12.0,
PESD1V0R1BCSF,Nexperia,DSN0603-2,1.0,,0.1,1.0,Bidirectional,Commercial,TVS/ESD,,8.0,
PESD1V0R1BDSF,Nexperia,DSN0603-2,1.0,,0.13,1.0,Bidirectional,Commercial,TVS/ESD,,10.0,
PESD1V0R1BESF,Nexperia,DSN0603-2,1.0,,0.2,1.0,Bidirectional,Commercial,TVS/ESD,8.0,18.0,
PESD1V0R1BFSF,Nexperia,DSN0603-2,1.0,,0.24,1.0,Bidirectional,Commercial,TVS/ESD,9.6,22.0,
PESD1V0Y1BBSF,Nexperia,DSN0603-2,1.0,,0.16,1.0,Bidirectional,Commercial,TVS/ESD,6.9,14.0,
PESD1V0Y1BIF,Nexperia,DSN0603D-2,1.0,,0.18,1.0,Bidirectional,Commercial,TVS/ESD,7.9,15.0,
PESD1V2Y1BSF,Nexperia,DSN0603-2,1.2,,0.26,1.0,Bidirectional,Commercial,TVS/ESD,4.8,15.0,
PESD2CANFD24L-U,Nexperia,SC-70,24.0,,9.0,2.0,Bidirectional,Commercial,TVS/ESD,4.0,30.0,
PESD2CANFD24LU-Q,Nexperia,SC-70,24.0,,9.0,2.0,Bidirectional,Automotive,TVS/ESD,4.0,30.0,
PESD2CANFD27LT-Q,Nexperia,SOT23,27.0,,9.0,2.0,Bidirectional,Automotive,TVS/ESD,3.9,30.0,
PESD2CANFD33UQB-Q,Nexperia,DFN1110D-3,33.0,,4.1,2.0,Bidirectional,Automotive,TVS/ESD,2.0,17.0,
PESD2CANFD36LQB-Q,Nexperia,DFN1110D-3,36.0,,8.7,2.0,Bidirectional,Automotive,TVS/ESD,2.9,20.0,
PESD2CANFD36LQC-Q,Nexperia,DFN1412D-3,36.0,,8.7,2.0,Bidirectional,Automotive,TVS/ESD,2.9,20.0,
PESD2CANFD36UQB-Q,Nexperia,DFN1110D-3,36.0,,3.9,2.0,Bidirectional,Automotive,TVS/ESD,1.6,12.0,
PESD2CANFD36UQC-Q,Nexperia,DFN1412D-3,36.0,,3.9,2.0,Bidirectional,Automotive,TVS/ESD,1.6,12.0,
PESD2CANFD36VQB-Q,Nexperia,DFN1110D-3,36.0,,5.4,2.0,Bidirectional,Automotive,TVS/ESD,2.3,20.0,
PESD2CANFD36VQC-Q,Nexperia,DFN1412D-3,36.0,,5.4,2.0,Bidirectional,Automotive,TVS/ESD,2.3,20.0,
PESD2ETH1GT-Q,Nexperia,SOT23,24.0,,1.8,2.0,Bidirectional,Automotive,TVS/ESD,2.3,30.0,
PESD2ETH-AD,Nexperia,TSOP6,5.5,,2.0,2.0,Unidirectional,Commercial,TVS/ESD,3.5,12.0,
PESD2ETH-AX,Nexperia,SOT143B,5.5,,1.8,2.0,Unidirectional,Commercial,TVS/ESD,,12.0,
PESD2ETH-D,Nexperia,TSOP6,5.5,,1.3,2.0,Unidirectional,Commercial,TVS/ESD,2.5,8.0,
